Subject,Site,FOS_CG,FOS_IL,FOS_lOFC,FOS_mOFC,FOS_PRL,FOS_vOFC
S33,dorsolateral,246.5,210.5,208.5,180.5,268,185
S34,dorsolateral,56.5,79,137,147.5,94,152.5
S35,dorsolateral,,,,,,
S56,dorsolateral,118.5,158,74,199,76,147.5
S57,dorsolateral,67.5,144.5,86.5,82,155,108
S58,dorsolateral,138,158.5,60.5,158.5,132.5,144.5
S59,dorsolateral,123,165,187.5,205.5,178.5,155
S64,dorsolateral,104,144,,125,175,252
S65,dorsolateral,108,143.5,125.5,167.5,125,189
S29,dorsomedial,113.5,287.5,214,186,233.5,246.5
S30,dorsomedial,71,57.5,83,175.5,57,104.5
S31,dorsomedial,179,130,166,135,100.5,204.5
S32,dorsomedial,15,133.5,28,109,81,62
S52,dorsomedial,65.5,143,37.5,170.5,178.5,103
S53,dorsomedial,97,136.5,70.5,130,99,126.5
S54,dorsomedial,123,220,87,71.5,183,83
S55,dorsomedial,111,154.5,119.5,136.5,164,219
S63,dorsomedial,83.5,101,97,100,106,123.5
S16,mid,131.5,111.5,64.5,229,129.5,144
S17,mid,92,125,109.5,92.5,107,121.5
S18,mid,147,120.5,208.5,164.5,136.5,233.5
S19,mid,154,135.5,109.5,101.5,142,115.5
S20,mid,102,94.5,48.5,57.5,62,62
S23,mid,179,291.5,201,203.5,258.5,179
S24,mid,,,,,,
S62,mid,75,137.5,75,98,92,107.5
REV5__,ventral,62.5,54.5,91,76.5,76.5,87
REV6__,ventral,46,48.5,137.5,63.5,59,86
REV7__,ventral,71,54.5,86.5,101.5,70,96
S10___,ventral,45.5,90,115.5,80.5,94,113
S12___,ventral,284.5,91,180,210,156,169
S13___,ventral,90.5,152.5,110.5,111.5,115,120
S14___,ventral,47,78,95,118,106.5,98
S15___,ventral,101,77.5,75,119,104,107
S60,ventral,105,165.5,45,127,144,148
,,,,,,,
DN1,mid,162.5,154,168.5,177,146.5,149.5
DN2,mid,179,291.5,201,203.5,258.5,179
DN3,mid,131.5,111.5,64.5,229,129.5,144
DN4,mid,147,120.5,208.5,164.5,136.5,233.5
DN5,mid,92,125,109.5,92.5,107,121.5
,,,,,,,
CTRL1,,81,105.5,118,132.5,109.5,230
CTRL2,,59,126,63.5,31,90,25
CTRL3,,43,57.5,38,68.5,67.5,37.5
CTRL4,,23,90,32,39.5,58,64.5
CTRL5,,50,80,22,48.5,37,120.5
